comentario,usuario,fecha,likes,video_id
me parece o esta temblando,@alexanderalvarado9138,2025-05-11T00:06:04Z,0,lfG8PiImmsM
"Sus troIes pagados dicen que ""no existe"" este penoso video.  ¡A LA REJA!",@Viva_la_constitucion-1993,2025-05-10T23:47:38Z,0,lfG8PiImmsM
Pta fuimos el gilaso que vuelve con la ex  en su momento 2 campesinos atorrantes cagaron el pais,@darkergreenstudios8277,2025-05-05T10:30:19Z,0,lfG8PiImmsM
Olvidarenos esto como el 2020 de alianza risa,@PieroAndre-l1o,2025-04-30T13:39:32Z,0,lfG8PiImmsM
EL MISMO DISCURSO DEL POBRESITO CASTIBURRO CASTIBURRO ESTAS EN EL LUGAR AHORA POR TUS PROPIOS ACTOS Y ACCIONES SOLITO TE PUSISTE LA SOGA AL CUELLO Y AQUIEN CULPAS AHORA,@carlosvargas4251,2025-04-26T02:07:10Z,0,lfG8PiImmsM
"No todo el mensaje era malo 
Si desde ese día hubiera habido toque de queda a nivel nacional no estaríamos así como estamos hoy  2025 
Wbns",@lullycalderon6437,2025-04-23T14:50:08Z,1,lfG8PiImmsM
Todas las pruebas de acuerdo a ley exijo minimo 30. Años de cana,@Rocapa-f6x,2025-04-20T00:57:27Z,0,lfG8PiImmsM
Este señor es digno representa de todos sus seguidores 🫏s de 💩,@samcj2729,2025-04-18T17:22:36Z,1,lfG8PiImmsM
LA PEOR BURRADA DE PEDRO CASTILLO,@ALX_N0R35,2025-04-17T02:47:18Z,2,lfG8PiImmsM
😅😅😅😅 Si me acuerdo...!!,@josealcantara2571,2025-04-16T14:33:39Z,0,lfG8PiImmsM
DESPUES DICE QUE ESTABA SEDADO😂😂😂😂😂,@tania.m9172,2025-04-14T22:43:15Z,0,lfG8PiImmsM
este pobre hombre habrá pensado que dar un golpe de estado es ponerse frente a la cámara y decir su discurso. Pobre infeliz. Ojalá nunca salga de la cárcel.,@gonzaloarturorosadioaguirr2672,2025-04-13T18:23:01Z,1,lfG8PiImmsM
Cadena perpetua,@joseherreracampana9831,2025-04-12T02:36:38Z,0,lfG8PiImmsM
Este no sabe ni lo que lee,@Castle2304,2025-04-10T04:17:47Z,0,lfG8PiImmsM
Animal ,@Castle2304,2025-04-10T04:17:23Z,0,lfG8PiImmsM
Salvaje,@Castle2304,2025-04-10T04:17:11Z,0,lfG8PiImmsM
Bestia,@Castle2304,2025-04-10T04:16:59Z,0,lfG8PiImmsM
Con todo respeto a todos no soy ni era un simpatizante de Castillo pero tenía q decirle las cosas en su cara al congreso,@juanlivisichavez6842,2025-04-08T18:38:16Z,2,lfG8PiImmsM
Asta ora no puedo crer q esa cosa fue presidente es como meternos a la boca del lobo comunistas tucos,@paulmarcelcarrascochavez779,2025-04-07T21:05:35Z,1,lfG8PiImmsM
tantas cosas buenas para el pais que se mencionaron y nada su pudo hacer gracias a las ratas del congreso y sus jefes.,@yordanzarateluza4945,2025-04-07T19:47:39Z,1,lfG8PiImmsM
Y él lo escribio solito...vaya vaya. El champiñon esta perdido y queria otro ministerio para meter a sus rojos amigos.,@fran258,2025-04-02T23:29:08Z,0,lfG8PiImmsM
"Lo tenía. Premeditadamente...es con alegocia y ventaja.....un cobarde mayusculo..... porque todo lo que hace es.  VÍCTIMIZARSE para justificar 
su. Robo.....democracia. Bo tirne ni idea.... dictadura. Congresal???  Es bien conchudo este parásito...",@alfonsoyapias8465,2025-03-31T19:28:44Z,0,lfG8PiImmsM
JAJAJAJA,@robertomunoz2919,2025-03-30T19:20:16Z,0,lfG8PiImmsM
Cuando algunos Peruanos elegían con el hígado en la mano eran capaces de traicionar asu patria  poniendo de presidente a un Analfabeto que decía ser profesor...no mas asnos en un Perú Inteligente.,@jorias6119,2025-03-29T21:46:46Z,3,lfG8PiImmsM
LOS ROJOS  COMO PEDRO CASTILLO Y LOS HNOS CERRON   NUNCA BUNCA MAS.,@filomonchavez1177,2025-03-29T14:18:39Z,1,lfG8PiImmsM
Y ahora espera sus 40 año de cana 🤣🤣🤣🤣,@lendyquevedoreyes,2025-03-28T02:34:47Z,3,lfG8PiImmsM
Se disfrazo de maduro trmendo ladron,@carlosantoniocampanabarraz7091,2025-03-27T21:58:57Z,3,lfG8PiImmsM
😂😂buuurrrro chotano,@yumitogo,2025-03-27T18:50:10Z,2,lfG8PiImmsM
INTELIGENCIA ARTIFICIAL,@LASVILLASSP,2025-03-25T21:17:59Z,0,lfG8PiImmsM
Quienes deberían de estar en el banquillo de acusados por los jueces del Perú serían los parlamentarios pero los jueces están al servicio de los gobiernos extranjeros y pasan por encima del voto popular del Perúvaya que Democracia.,@ricardolovely8389,2025-03-25T05:30:10Z,0,lfG8PiImmsM
Vivan los 34 años que te van a dar por imbesil!,@EduardoTorres-w7x,2025-03-25T04:25:16Z,2,lfG8PiImmsM
El hombre está amenazado por eso tiembla.,@YannethYufra,2025-03-25T02:15:41Z,1,lfG8PiImmsM
IGNOTO PROSOR SINDICALISTA GREMIAL MAGISTERIAL hasta la última.,@luisrios8701,2025-03-25T00:31:42Z,0,lfG8PiImmsM
Y dice que no hay pruebas de su fallido  golpe Caníbal Torres porqué está suelto? el  azuzador que decia: correrán ríos de sangre,@pascualaraujoparedes4387,2025-03-24T13:25:59Z,2,lfG8PiImmsM
Me imagino que no sabe bien lo que lee,@HansFurchtlos78,2025-03-24T01:49:41Z,1,lfG8PiImmsM
Tiene la cara de un delincuente,@miguelantonioizquierdoalva6050,2025-03-23T13:57:33Z,2,lfG8PiImmsM
Pasando el tiempo sus Congresistas les fallaron de eso hablava el discurso  ahora aguantense las extorciones Mortales  y delincuencia callejera en Lima  y saqueo de toneladas de Oro de las empresas extrangeras  sobre todo de Estados Unidos  para Brutos no hay quien los Gane  les gusts el asote del extrangero el descuartisamiento  y de castigo les toco tambien una tarada de Presidenta gh,@MarlonHisbes,2025-03-23T06:18:53Z,0,lfG8PiImmsM
